Geneid,transcript_id,transcript_symbol,gene_symbol,rGAL4_lnRi_0.7_1,rGAL4_lnRi_0.7_2,rGAL4_lnRi_0.7_3,log2FoldChange,padj,DA
FBgn0021765,FBtr0074511;FBtr0308351;FBtr0308351;FBtr0074511;FBtr0308351,scu-RA;scu-RB;scu-RB;scu-RA;scu-RB,scu,2085,1448,1054,-1.013485297,1.22E-05,-1
FBgn0032637,FBtr0080981;FBtr0305682;FBtr0305682;FBtr0080981;FBtr0080981;FBtr0305682;FBtr0080981;FBtr0305682,CG5050-RA;CG5050-RB;CG5050-RB;CG5050-RA;CG5050-RA;CG5050-RB;CG5050-RA;CG5050-RB,CG5050,57,62,26,2.795976033,1.22E-05,1
FBgn0262353,FBtr0475221,CG43051-RB,CG43051,61,28,33,-1.625503496,1.32E-05,-1
FBgn0015808,FBtr0081109,ScpX-RA,ScpX,1168,850,524,-1.008540992,1.34E-05,-1
FBgn0035040,FBtr0304961;FBtr0072337;FBtr0343488;FBtr0343488;FBtr0072337;FBtr0072337;FBtr0304961;FBtr0304961,CG4741-RB;CG4741-RA;CG4741-RC;CG4741-RC;CG4741-RA;CG4741-RA;CG4741-RB;CG4741-RB,CG4741,53,41,24,3.03031314,1.36E-05,1
FBgn0034901,FBtr0072090,CG11300-RA,CG11300,91,38,55,2.412169624,1.40E-05,1
FBgn0031948,FBtr0343406;FBtr0343405;FBtr0079496;FBtr0343406;FBtr0343405;FBtr0343406;FBtr0343405;FBtr0079496;FBtr0343406;FBtr0079496;FBtr0343405;FBtr0343406;FBtr0343405;FBtr0079496;FBtr0343406;FBtr0343405;FBtr0079496;FBtr0343406;FBtr0343405;FBtr0079496;FBtr0343406;FBtr0343405;FBtr0079496;FBtr0343406;FBtr0343405;FBtr0079496,CG7149-RC;CG7149-RB;CG7149-RA;CG7149-RC;CG7149-RB;CG7149-RC;CG7149-RB;CG7149-RA;CG7149-RC;CG7149-RA;CG7149-RB;CG7149-RC;CG7149-RB;CG7149-RA;CG7149-RC;CG7149-RB;CG7149-RA;CG7149-RC;CG7149-RB;CG7149-RA;CG7149-RC;CG7149-RB;CG7149-RA;CG7149-RC;CG7149-RB;CG7149-RA,CG7149,546,559,227,1.431997687,1.63E-05,1
FBgn0036157,FBtr0076173,CG7560-RA,CG7560,60,12,14,6.502376366,1.68E-05,1
FBgn0028940,FBtr0080587,Cyp28a5-RA,Cyp28a5,533,398,301,-1.055429597,1.72E-05,-1
FBgn0001301,FBtr0081043;FBtr0081042;FBtr0081042;FBtr0081043;FBtr0081043;FBtr0081042;FBtr0081043;FBtr0081042;FBtr0081043;FBtr0081042;FBtr0081043;FBtr0081042,kel-RB;kel-RA;kel-RA;kel-RB;kel-RB;kel-RA;kel-RB;kel-RA;kel-RB;kel-RA;kel-RB;kel-RA,kel,1299,1072,699,1.016930747,1.75E-05,1
FBgn0034392,FBtr0086637;FBtr0086636;FBtr0086637;FBtr0086636;FBtr0086636;FBtr0086637;FBtr0086636,MFS15-RB;MFS15-RA;MFS15-RB;MFS15-RA;MFS15-RA;MFS15-RB;MFS15-RA,MFS15,262,207,125,1.341167376,1.87E-05,1
FBgn0033504,FBtr0088338;FBtr0088338;FBtr0088338;FBtr0306688;FBtr0299829;FBtr0299825;FBtr0088339;FBtr0088347;FBtr0088340;FBtr0479881;FBtr0479879;FBtr0479878;FBtr0336696;FBtr0336695;FBtr0306691;FBtr0299830;FBtr0299826;FBtr0301131;FBtr0088341;FBtr0479880;FBtr0336694;FBtr0299830;FBtr0479878;FBtr0336695;FBtr0301131;FBtr0479877;FBtr0306690;FBtr0088343;FBtr0088342;FBtr0088343;FBtr0301965;FBtr0088344;FBtr0479877;FBtr0299825;FBtr0088343;FBtr0088342;FBtr0479881;FBtr0479877;FBtr0336696;FBtr0306690;FBtr0299825;FBtr0088343;FBtr0088342;FBtr0479879;FBtr0479877;FBtr0336695;FBtr0306691;FBtr0306690;FBtr0299829;FBtr0299825;FBtr0088343;FBtr0088342;FBtr0479879;FBtr0479877;FBtr0336695;FBtr0306691;FBtr0306690;FBtr0299829;FBtr0299825;FBtr0088343;FBtr0088342;FBtr0479879;FBtr0479877;FBtr0306691;FBtr0306690;FBtr0299829;FBtr0299825;FBtr0088343;FBtr0088342;FBtr0306688;FBtr0088347;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0306691;FBtr0306690;FBtr0299829;FBtr0299825;FBtr0301131;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479877;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0301965;FBtr0088344;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299826;FBtr0299825;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0088345;FBtr0088346;FBtr0299828;FBtr0301965;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088345;FBtr0088346;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299828;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088345;FBtr0088346;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299828;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088345;FBtr0088346;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299828;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088346;FBtr0088345;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341;FBtr0479881;FBtr0479880;FBtr0479879;FBtr0479878;FBtr0479877;FBtr0336696;FBtr0336695;FBtr0336694;FBtr0306691;FBtr0306690;FBtr0306688;FBtr0299829;FBtr0299828;FBtr0299826;FBtr0299825;FBtr0301131;FBtr0301965;FBtr0088340;FBtr0088339;FBtr0088338;FBtr0088347;FBtr0088346;FBtr0088345;FBtr0088344;FBtr0088343;FBtr0088342;FBtr0088341,CAP-RI;CAP-RI;CAP-RI;CAP-RS;CAP-RO;CAP-RK;CAP-RH;CAP-RJ;CAP-RG;CAP-RAE;CAP-RAC;CAP-RAB;CAP-RY;CAP-RX;CAP-RV;CAP-RP;CAP-RL;CAP-RQ;CAP-RA;CAP-RAD;CAP-RW;CAP-RP;CAP-RAB;CAP-RX;CAP-RQ;CAP-RAA;CAP-RU;CAP-RC;CAP-RF;CAP-RC;CAP-RR;CAP-RB;CAP-RAA;CAP-RK;CAP-RC;CAP-RF;CAP-RAE;CAP-RAA;CAP-RY;CAP-RU;CAP-RK;CAP-RC;CAP-RF;CAP-RAC;CAP-RAA;CAP-RX;CAP-RV;CAP-RU;CAP-RO;CAP-RK;CAP-RC;CAP-RF;CAP-RAC;CAP-RAA;CAP-RX;CAP-RV;CAP-RU;CAP-RO;CAP-RK;CAP-RC;CAP-RF;CAP-RAC;CAP-RAA;CAP-RV;CAP-RU;CAP-RO;CAP-RK;CAP-RC;CAP-RF;CAP-RS;CAP-RJ;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RV;CAP-RU;CAP-RO;CAP-RK;CAP-RQ;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RC;CAP-RF;CAP-RA;CAP-RAA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RR;CAP-RB;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RL;CAP-RK;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RC;CAP-RF;CAP-RA;CAP-RD;CAP-RE;CAP-RN;CAP-RR;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RL;CAP-RK;CAP-RQ;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RD;CAP-RE;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RN;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RD;CAP-RE;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RN;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RD;CAP-RE;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RN;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RE;CAP-RD;CAP-RB;CAP-RC;CAP-RF;CAP-RA;CAP-RAE;CAP-RAD;CAP-RAC;CAP-RAB;CAP-RAA;CAP-RY;CAP-RX;CAP-RW;CAP-RV;CAP-RU;CAP-RS;CAP-RO;CAP-RN;CAP-RL;CAP-RK;CAP-RQ;CAP-RR;CAP-RG;CAP-RH;CAP-RI;CAP-RJ;CAP-RE;CAP-RD;CAP-RB;CAP-RC;CAP-RF;CAP-RA,CAP,691,506,389,1.028079274,1.88E-05,1
FBgn0036896,FBtr0074965;FBtr0074964;FBtr0074963;FBtr0302513;FBtr0302513;FBtr0074965;FBtr0074964;FBtr0074963;FBtr0302513;FBtr0074965;FBtr0074964;FBtr0074963;FBtr0074965;FBtr0302513;FBtr0074964;FBtr0074963;FBtr0302513;FBtr0074964;FBtr0074965;FBtr0074963;FBtr0302513;FBtr0074965;FBtr0074964;FBtr0074963;FBtr0302513;FBtr0074965;FBtr0074964;FBtr0074963;FBtr0074963;FBtr0074965;FBtr0074964,wnd-RC;wnd-RB;wnd-RA;wnd-RD;wnd-RD;wnd-RC;wnd-RB;wnd-RA;wnd-RD;wnd-RC;wnd-RB;wnd-RA;wnd-RC;wnd-RD;wnd-RB;wnd-RA;wnd-RD;wnd-RB;wnd-RC;wnd-RA;wnd-RD;wnd-RC;wnd-RB;wnd-RA;wnd-RD;wnd-RC;wnd-RB;wnd-RA;wnd-RA;wnd-RC;wnd-RB,wnd,445,403,240,1.225273489,1.93E-05,1
FBgn0029935,FBtr0071020,CG4615-RA,CG4615,177,137,86,1.593652191,2.01E-05,1
FBgn0028540,FBtr0343663;FBtr0346632;FBtr0080576;FBtr0343663;FBtr0080576;FBtr0346632;FBtr0080576;FBtr0343663;FBtr0346632;FBtr0343663;FBtr0080576;FBtr0346632;FBtr0343663;FBtr0080576;FBtr0346632;FBtr0343663;FBtr0080576;FBtr0346632;FBtr0343663;FBtr0080576,CG9008-RD;CG9008-RE;CG9008-RA;CG9008-RD;CG9008-RA;CG9008-RE;CG9008-RA;CG9008-RD;CG9008-RE;CG9008-RD;CG9008-RA;CG9008-RE;CG9008-RD;CG9008-RA;CG9008-RE;CG9008-RD;CG9008-RA;CG9008-RE;CG9008-RD;CG9008-RA,CG9008,146,134,94,1.635265864,2.01E-05,1
FBgn0039299,FBtr0339259,CG11854-RB,CG11854,180,76,118,-1.518692379,2.01E-05,-1
FBgn0015777,FBtr0332369;FBtr0100381;FBtr0100382;FBtr0079382;FBtr0079381;FBtr0079383;FBtr0332369;FBtr0100382;FBtr0100381;FBtr0079382;FBtr0079381;FBtr0079383;FBtr0332369;FBtr0100382;FBtr0079382;FBtr0100381;FBtr0079381;FBtr0079383;FBtr0332369;FBtr0100382;FBtr0100381;FBtr0079381;FBtr0079382;FBtr0079383;FBtr0332369;FBtr0100382;FBtr0100381;FBtr0079382;FBtr0079383;FBtr0079381;FBtr0100381;FBtr0079382;FBtr0079383;FBtr0079383;FBtr0100381;FBtr0079382;FBtr0332369;FBtr0100382;FBtr0079381;FBtr0332369;FBtr0079381;FBtr0079381,nrv2-RG;nrv2-RE;nrv2-RF;nrv2-RA;nrv2-RC;nrv2-RD;nrv2-RG;nrv2-RF;nrv2-RE;nrv2-RA;nrv2-RC;nrv2-RD;nrv2-RG;nrv2-RF;nrv2-RA;nrv2-RE;nrv2-RC;nrv2-RD;nrv2-RG;nrv2-RF;nrv2-RE;nrv2-RC;nrv2-RA;nrv2-RD;nrv2-RG;nrv2-RF;nrv2-RE;nrv2-RA;nrv2-RD;nrv2-RC;nrv2-RE;nrv2-RA;nrv2-RD;nrv2-RD;nrv2-RE;nrv2-RA;nrv2-RG;nrv2-RF;nrv2-RC;nrv2-RG;nrv2-RC;nrv2-RC,nrv2,1418,652,486,1.508932179,2.02E-05,1
FBgn0027611,FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030;FBtr0080030;FBtr0080031;FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030;FBtr0080031;FBtr0080030,LManII-RB;LManII-RA;LManII-RB;LManII-RA;LManII-RB;LManII-RA;LManII-RB;LManII-RA;LManII-RA;LManII-RB;LManII-RB;LManII-RA;LManII-RB;LManII-RA;LManII-RB;LManII-RA;LManII-RB;LManII-RA;LManII-RB;LManII-RA,LManII,4505,5184,2593,1.172001398,2.04E-05,1
FBgn0023477,FBtr0072141,Taldo-RA,Taldo,1610,730,641,-1.128080093,2.08E-05,-1
FBgn0031561,FBtr0345610;FBtr0077546;FBtr0077546;FBtr0345610,IM33-RB;IM33-RA;IM33-RA;IM33-RB,IM33,3895,1907,1172,1.239574378,2.14E-05,1
FBgn0023549,FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393;FBtr0342765;FBtr0070393,Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA;Mct1-RB;Mct1-RA,Mct1,4528,6005,2734,1.213989378,2.26E-05,1
FBgn0040503,FBtr0473624;FBtr0473623;FBtr0473623;FBtr0473624,CG7763-RD;CG7763-RC;CG7763-RC;CG7763-RD,CG7763,75,51,38,-1.464372269,2.35E-05,-1
FBgn0262116,FBtr0334986;FBtr0111266;FBtr0334986;FBtr0111266;FBtr0111266;FBtr0334986,RNASEK-RB;RNASEK-RA;RNASEK-RB;RNASEK-RA;RNASEK-RA;RNASEK-RB,RNASEK,180,99,95,-1.273067666,2.42E-05,-1
FBgn0259735,FBtr0300003;FBtr0300003;FBtr0335497;FBtr0300004;FBtr0335497;FBtr0300004;FBtr0335497;FBtr0300004;FBtr0335497;FBtr0335497;FBtr0300004;FBtr0300003;FBtr0300005;FBtr0335497;FBtr0300005;FBtr0300003;FBtr0300004;FBtr0335497;FBtr0300005;FBtr0300003;FBtr0300004,mtgo-RE;mtgo-RE;mtgo-RH;mtgo-RF;mtgo-RH;mtgo-RF;mtgo-RH;mtgo-RF;mtgo-RH;mtgo-RH;mtgo-RF;mtgo-RE;mtgo-RG;mtgo-RH;mtgo-RG;mtgo-RE;mtgo-RF;mtgo-RH;mtgo-RG;mtgo-RE;mtgo-RF,mtgo,1290,1132,768,0.982846696,2.42E-05,1
FBgn0053460,FBtr0100642,CG33460-RA,CG33460,198,103,82,1.705359989,2.58E-05,1
FBgn0027579,FBtr0085249;FBtr0335011;FBtr0335011;FBtr0085249;FBtr0085250;FBtr0085251;FBtr0335011;FBtr0085251;FBtr0085249;FBtr0085250;FBtr0335011;FBtr0085250;FBtr0085251;FBtr0085249;FBtr0335011;FBtr0085250;FBtr0085251;FBtr0085249;FBtr0335011;FBtr0085250;FBtr0085251;FBtr0085249;FBtr0335011;FBtr0085250;FBtr0085251;FBtr0085249;FBtr0085251;FBtr0335011;FBtr0085250;FBtr0085249,mino-RA;mino-RE;mino-RE;mino-RA;mino-RC;mino-RB;mino-RE;mino-RB;mino-RA;mino-RC;mino-RE;mino-RC;mino-RB;mino-RA;mino-RE;mino-RC;mino-RB;mino-RA;mino-RE;mino-RC;mino-RB;mino-RA;mino-RE;mino-RC;mino-RB;mino-RA;mino-RB;mino-RE;mino-RC;mino-RA,mino,692,550,321,1.097595827,2.62E-05,1
FBgn0032900,FBtr0081430;FBtr0307163;FBtr0333010;FBtr0081430;FBtr0307163;FBtr0333010;FBtr0333010;FBtr0081430;FBtr0307163,CG14401-RA;CG14401-RB;CG14401-RC;CG14401-RA;CG14401-RB;CG14401-RC;CG14401-RC;CG14401-RA;CG14401-RB,CG14401,438,368,211,1.212779306,2.67E-05,1
FBgn0036467,FBtr0075665,CG12310-RA,CG12310,169,36,147,-3.132564086,2.75E-05,-1
FBgn0010379,FBtr0344717;FBtr0083227;FBtr0083228;FBtr0083226;FBtr0344470;FBtr0344717;FBtr0083228;FBtr0344470;FBtr0083227;FBtr0083226;FBtr0344717;FBtr0083228;FBtr0344470;FBtr0083227;FBtr0083226;FBtr0344717;FBtr0083228;FBtr0344470;FBtr0083227;FBtr0083226;FBtr0344717;FBtr0344470;FBtr0083228;FBtr0083226;FBtr0083227;FBtr0344470;FBtr0344717;FBtr0083228;FBtr0083227;FBtr0083226;FBtr0344717;FBtr0344470;FBtr0083228;FBtr0083227;FBtr0083226,Akt-RE;Akt-RA;Akt-RC;Akt-RB;Akt-RD;Akt-RE;Akt-RC;Akt-RD;Akt-RA;Akt-RB;Akt-RE;Akt-RC;Akt-RD;Akt-RA;Akt-RB;Akt-RE;Akt-RC;Akt-RD;Akt-RA;Akt-RB;Akt-RE;Akt-RD;Akt-RC;Akt-RB;Akt-RA;Akt-RD;Akt-RE;Akt-RC;Akt-RA;Akt-RB;Akt-RE;Akt-RD;Akt-RC;Akt-RA;Akt-RB,Akt,633,571,329,1.114555333,2.85E-05,1
FBgn0004427,FBtr0072634,LysD-RA,LysD,58,31,58,2.503599032,2.85E-05,1
FBgn0037235,FBtr0078909;FBtr0111220;FBtr0078909;FBtr0078909;FBtr0111220,CG1103-RA;CG1103-RB;CG1103-RA;CG1103-RA;CG1103-RB,CG1103,555,413,265,1.135166708,2.88E-05,1
FBgn0051769,FBtr0080602,CG31769-RA,CG31769,338,312,180,1.305575821,2.94E-05,1
FBgn0053117,FBtr0081309,TotE-RA,TotE,239,727,605,4.154464189,3.00E-05,1
FBgn0085419,FBtr0112633;FBtr0340386;FBtr0112633;FBtr0340386;FBtr0340386;FBtr0112633;FBtr0340386;FBtr0112633;FBtr0340386;FBtr0112633;FBtr0112633;FBtr0340386;FBtr0112633;FBtr0340386,Rgk2-RA;Rgk2-RC;Rgk2-RA;Rgk2-RC;Rgk2-RC;Rgk2-RA;Rgk2-RC;Rgk2-RA;Rgk2-RC;Rgk2-RA;Rgk2-RA;Rgk2-RC;Rgk2-RA;Rgk2-RC,Rgk2,264,140,101,1.425137357,3.13E-05,1
FBgn0039674,FBtr0085447,CG1907-RA,CG1907,468,323,198,-1.062104724,3.18E-05,-1
FBgn0003495,FBtr0114372;FBtr0112834;FBtr0085146;FBtr0085140;FBtr0085145;FBtr0085138;FBtr0085139;FBtr0085137;FBtr0114372;FBtr0085146;FBtr0112834;FBtr0085145;FBtr0085140;FBtr0085139;FBtr0085138;FBtr0085137;FBtr0114372;FBtr0112834;FBtr0085146;FBtr0085145;FBtr0085140;FBtr0085139;FBtr0085137;FBtr0085138;FBtr0114372;FBtr0112834;FBtr0085145;FBtr0085146;FBtr0085139;FBtr0085140;FBtr0085137;FBtr0085138;FBtr0114372;FBtr0112834;FBtr0085146;FBtr0085139;FBtr0085137;FBtr0112834;FBtr0085140;FBtr0114372;FBtr0112834;FBtr0085146;FBtr0085145;FBtr0085140;FBtr0085139;FBtr0085138;FBtr0085137,spz-RL;spz-RK;spz-RJ;spz-RD;spz-RI;spz-RB;spz-RC;spz-RA;spz-RL;spz-RJ;spz-RK;spz-RI;spz-RD;spz-RC;spz-RB;spz-RA;spz-RL;spz-RK;spz-RJ;spz-RI;spz-RD;spz-RC;spz-RA;spz-RB;spz-RL;spz-RK;spz-RI;spz-RJ;spz-RC;spz-RD;spz-RA;spz-RB;spz-RL;spz-RK;spz-RJ;spz-RC;spz-RA;spz-RK;spz-RD;spz-RL;spz-RK;spz-RJ;spz-RI;spz-RD;spz-RC;spz-RB;spz-RA,spz,162,112,75,1.54123862,3.20E-05,1
FBgn0051523,FBtr0335429;FBtr0335430;FBtr0345142;FBtr0078938;FBtr0078936;FBtr0078937;FBtr0078935;FBtr0335430;FBtr0335429;FBtr0345142;FBtr0078938;FBtr0078937;FBtr0078936;FBtr0078935;FBtr0335430;FBtr0345142;FBtr0335429;FBtr0078938;FBtr0078937;FBtr0078936;FBtr0078935;FBtr0335430;FBtr0335429;FBtr0345142;FBtr0078938;FBtr0078937;FBtr0078935;FBtr0078936;FBtr0335430;FBtr0335429;FBtr0078938;FBtr0345142;FBtr0078937;FBtr0078936;FBtr0078935;FBtr0335430;FBtr0335429;FBtr0345142;FBtr0078938;FBtr0078937;FBtr0078936;FBtr0078935;FBtr0335430;FBtr0335429;FBtr0345142;FBtr0078938;FBtr0078937;FBtr0078936;FBtr0078935;FBtr0345142;FBtr0078937;FBtr0335429;FBtr0335430;FBtr0335429;FBtr0078935;FBtr0078936,CG31523-RE;CG31523-RF;CG31523-RG;CG31523-RD;CG31523-RB;CG31523-RA;CG31523-RC;CG31523-RF;CG31523-RE;CG31523-RG;CG31523-RD;CG31523-RA;CG31523-RB;CG31523-RC;CG31523-RF;CG31523-RG;CG31523-RE;CG31523-RD;CG31523-RA;CG31523-RB;CG31523-RC;CG31523-RF;CG31523-RE;CG31523-RG;CG31523-RD;CG31523-RA;CG31523-RC;CG31523-RB;CG31523-RF;CG31523-RE;CG31523-RD;CG31523-RG;CG31523-RA;CG31523-RB;CG31523-RC;CG31523-RF;CG31523-RE;CG31523-RG;CG31523-RD;CG31523-RA;CG31523-RB;CG31523-RC;CG31523-RF;CG31523-RE;CG31523-RG;CG31523-RD;CG31523-RA;CG31523-RB;CG31523-RC;CG31523-RG;CG31523-RA;CG31523-RE;CG31523-RF;CG31523-RE;CG31523-RC;CG31523-RB,CG31523,457,398,258,1.177450962,3.29E-05,1
FBgn0030588,FBtr0073985,CG9521-RA,CG9521,5,3,4,-3.415359134,3.34E-05,-1
FBgn0034511,FBtr0086214,GNBP-like3-RA,GNBP-like3,25,40,19,5.019742043,3.49E-05,1
FBgn0014865,FBtr0087386,Mtk-RA,Mtk,148,161,112,1.484337842,3.52E-05,1
FBgn0032162,FBtr0331632;FBtr0079879;FBtr0079879;FBtr0331632;FBtr0079879;FBtr0331632,CG4592-RB;CG4592-RA;CG4592-RA;CG4592-RB;CG4592-RA;CG4592-RB,CG4592,38,27,18,-1.620097149,3.62E-05,-1
FBgn0003231,FBtr0100289;FBtr0081253;FBtr0100289;FBtr0081253;FBtr0081253;FBtr0100289,ref(2)P-RB;ref(2)P-RA;ref(2)P-RB;ref(2)P-RA;ref(2)P-RA;ref(2)P-RB,ref(2)P,944,916,567,1.008115044,3.62E-05,1
