GO.ID,raw.pval,adj.pval,Term,Ontology,Genes,Regulation,Dataset
GO:0034622,6.96E-06,0.00311072,cellular protein-containing complex assembly,BP,"4E-T, Acf, AGO1, AGO2, ALiX, alphaSnap, Arp2, Arp3, Arpc1, Arpc2, asf1, ATP6AP2, aub, CanB2, Cdc42, CG12325, CG13185, CG13829, CG15676, CG31715, CG34242, CG41520, CG6891, CG7102, CG8858, CG9592, CG9921, chb, Chc, chic, chinmo, Cip4, Clc, conu, COX6B, COX7A, COX7AL, cpa, cpb, CSN8, Dad, Daxx, dco, Dcr-2, Df31, dia, Dsp1, eIF1, eIF2beta, eIF2gamma, eIF3a, eIF4B, eIF4H1, eIF5, emb, ens, Fak, flr, gammaSnap1, gek, Gem3, gish, GMF, Grip75, Grip91, Hat1, Hip1, His3.3A, His3.3B, His4r, HPS4, Hsc70-4, Hsp83, IRSp53, Iswi, Jupiter, Khc, l(2)41Ab, Lam, LamC, lap, lncRNA:roX1, lncRNA:roX2, Lon, lt, Mcm7, MCTS1, me31B, mgr, Mhc, mRpL20, mRpS11, mRpS7, msps, mTerf3, mu2, mxt, Mzt1, ND-18, ND-20, ND-23, ND-B12, ND-B14.7, nudE, Nup358, Nup98-96, Opa1, P32, Pfdn6, polo, Pomp, Prp8, r2d2, Rack1, Ran, RpL10, RpL23A, RpL24, RpL3, RpL38, RpL5, RpL6, RpLP0, Rpn10, Rpn13, Rpn6, Rpn9, RpS10b, RpS14a, RpS14b, RpS15, RpS19a, RpS27, RpS28b, RpS5a, Rpt1, Rpt3, Rpt4, Rpt5, Rpt6, sals, Sdhaf3, Sem1, Set, shi, SmD2, SmE, Snap25, Snoo, SNRPG, Spc105R, spoon, sqh, Srp19, sta, stac, Su(var)205, su(w[a]), Svil, svr, Tbce, TfIIA-S, TfIIA-S-2, Thor, tmod, tsr, unc-13, unc-45, Unr, Vap33, VhaAC45, Vps11, Vps16A, zip",Downregulated,OSNs
GO:0030866,0.000168529,0.033411909,cortical actin cytoskeleton organization,BP,"Arpc2, bond, btsz, Cdc42, chic, crb, cv-c, DCP2, dia, Fhos, flw, Frl, fwd, Galphai, Galphao, ghi, Hem, l(2)gl, Lam, Moe, pbl, Pi3K68D, polo, Rab11, Rac1, Rho1, Rok, sau, shi, sktl, Slik, tsr, vib",Downregulated,OSNs
GO:0008340,1.20E-09,4.62E-06,determination of adult lifespan,BP,"14-3-3epsilon, alph, alpha-Est7, alpha-Man-Ia, Atg7, Atg8a, Atpalpha, ATPsynD, babo, bun, CalpA, Cat, CG42663, cher, chico, cnc, CYLD, Daxx, Dronc, EcR, eEF1alpha1, Egfr, foxo, fwd, HDAC1, Hsp26, Hsp27, Ide, ImpL2, Indy, InR, kis, levy, lt, Men, miple1, miple2, Mrp4, MsrA, mth, mthl10, mthl3, mthl4, mthl5, mthl6, mthl7, mthl9, Mtpalpha, Mtpbeta, mys, N, ND-20, ND-SGDH, Nf1, p38a, Pcyt1, PGRP-LE, PGRP-LF, Prx3, Ras85D, rb, rl, S6k, SdhC, SelG, sesB, Sin3A, sm, Smox, Sod1, Sod2, sun, Thor, Tpi, Tsp42Ef, Tspo, VhaSFD, wdb",Downregulated,OSNs
GO:0010883,3.92E-05,0.011659833,regulation of lipid storage,BP,"Acsl, alphaCOP, beta'COP, betaCOP, CaMKII, Cds, deltaCOP, foxo, gammaCOP, Grasp65, ImpL2, Indy, InR, Lsd-2, mdy, p38c, Pi3K21B, Pten, Rac2, rb, SERCA, sturkopf, wdb, zetaCOP",Downregulated,OSNs
GO:0007029,2.22E-06,0.001228492,endoplasmic reticulum organization,BP,"ari-1, Arl1, atl, Bsg, CG5510, CG6527, ergic53, Esyt2, jagn, Kr-h2, Marf, Msp300, msps, ReepA, ReepB, Rtnl1, Sar1, Sec16, Sec23, Sec24CD, TER94, tral, TRAM, Vap33, wol",Downregulated,OSNs
GO:0007015,4.58E-05,0.012634229,actin filament organization,BP,"Actn, ALiX, Arp2, Arp3, Arpc1, Arpc2, bt, btsz, CAP, capt, Cdc42, CG1674, CG31715, CG6891, cher, chic, chinmo, cib, Cip4, ck, conu, cpa, cpb, ctp, dco, dia, ed, Fhos, Fim, flr, fz, gek, Girdin, gish, GMF, Hip1, HSPC300, hts, if, IRSp53, jar, jvl, Khc, Lam, LamC, mew, Mhc, Mical, Msp300, Mtl, Myo31DF, Myo61F, mys, N, Nup154, Nup98-96, Pak3, pigs, Pka-R1, pod1, Rac1, Rac2, Rack1, Rho1, RhoBTB, RhoGEF2, Rok, sals, shi, sn, spoon, Src42A, Svil, svr, Tm1, Tm2, tmod, tsr, tyn, up, zye",Downregulated,OSNs
GO:0051017,0.000194165,0.034913493,actin filament bundle assembly,BP,"Actn, CG1674, ctp, ed, Fhos, Fim, fz, if, IRSp53, jvl, Mtl, mys, Rac1, Rac2, Rho1, Rok, sn, Src42A, Tm1",Downregulated,OSNs
GO:0008103,1.62E-05,0.005957318,oocyte microtubule cytoskeleton polarization,BP,"14-3-3epsilon, 14-3-3zeta, BicD, capt, Chc, cnc, heph, Khc, mago, Pka-C1, Pka-R1, Rab11, Rab6, sktl",Downregulated,OSNs
GO:0016246,0.000194165,0.034913493,RNA interference,BP,"AGO2, Ars2, aub, bel, Cbp80, CG10077, CG14443, cuff, Dcr-2, Gas41, Hen1, Hsc70-3, Hsc70-4, mahe, ppk29, r2d2, Rm62, Tis11, vig",Downregulated,OSNs
GO:0007391,1.39E-06,0.000978941,dorsal closure,BP,"alph, alpha-Cat, arm, bsk, cbt, Cdc42, chic, Col4a1, cora, crb, cv-c, dlg1, Dok, ed, Egfr, emc, Ggamma1, Inx3, jar, jumu, kay, l(2)gl, lwr, mbc, Mcr, mmy, msn, Mtl, mys, N, Nmt, Nrx-IV, Pkn, put, Pvr, pyd, Rab11, Rab5, Rac1, Rac2, Rap1, Ras85D, rho, Rho1, Rok, scaf, scb, scrib, Sec61alpha, shot, sinu, spi, Src42A, stck, step, tkv, zip",Downregulated,OSNs
GO:0032102,0.000102165,0.021942778,negative regulation of response to external stimulus,BP,"cact, Cul1, CYLD, Dsp1, E(bx), faf, foxo, GstO2, krz, LysE, p38a, PGRP-LF, PGRP-SC2, Pli, Pten, Rala, Sema1b, Sema2a, senju, SkpA, slmb, Spn27A, Spn77Ba, Spn88Ea, Stat92E, tefu, TM9SF2, TM9SF4, Ulp1, unc-45, Usp2, wun",Downregulated,OSNs
GO:0007349,0.000328574,0.049338586,cellularization,BP,"Act5C, AGO2, Ance, aub, aux, Bug22, Capr, Cdc42, Cds, Chc, Cip4, CLIP-190, ctp, Cul3, Dark, Dhc64C, dia, Dronc, EcR, eIF3m, eIF4A, faf, Fmr1, gish, heph, jar, kuk, lva, me31B, nes, Npc1a, oys, Past1, piwi, Pld, pnut, poe, porin, Rab11, Rab5, Rho1, RhoGEF2, ScsbetaA, shi, sqh, sw, Syx1A, tacc, TER94",Downregulated,OSNs
GO:0007475,4.55E-05,0.012634229,apposition of dorsal and ventral imaginal disc-derived wing surfaces,BP,"blo, by, dpy, how, ics, if, Ilk, mew, parvin, pio, pot, rhea, stck",Downregulated,OSNs
GO:0007476,0.000216793,0.038096423,imaginal disc-derived wing morphogenesis,BP,"Actbeta, alphaSnap, ap, arm, ATP6AP2, babo, bbg, blo, brm, by, Cdc42, cg, Cip4, ck, cora, corto, crol, CSN8, ctp, Cul3, cv-c, Dad, dally, Dg, Dok, dpy, Drak, drk, ds, Dys, EcR, ed, Egfr, EloB, EloC, emc, Fhos, Fkbp14, flr, flw, fng, fog, ft, fz, fz2, Galphao, Galphas, Gli, Grasp65, Gug, heph, Hipk, how, Hs6st, hth, ics, if, Ilk, jumu, kis, lft, lgs, mav, mew, msk, Mtl, myo, N, Nedd4, nmo, nw, osa, pan, par-1, parvin, Past1, Pcyt1, Pgcl, Phm, pio, Pka-C1, pot, psq, put, Rac1, Rap1, Ras85D, Rbfox1, rhea, rho, Rho1, RhoGEF2, rl, Rok, sbb, scrib, sd, sgg, shg, smo, Smox, sn, sog, spen, spi, Spn88Ea, sqh, Src42A, stck, step, Stim, sty, svr, Timp, tkv, tnc, Trl, tsh, tsr, zfh2, zip, Zyx",Downregulated,OSNs
GO:0007411,9.71E-05,0.021942778,axon guidance,BP,"14-3-3epsilon, Acsl, alpha-Spec, ap, AP-1sigma, babo, beta-Spec, betaTub60D, Bsg, bsk, bur, CadN, Cam, caps, capt, Cdc42, chb, cher, chic, chif, Cont, conv, Dad, dally, Dg, DIP2, egh, eIF2beta, Eph, Ephrin, Fas1, Fas2, Fas3, Fmr1, fog, for, fra, fz, fz2, Galphaq, haf, Hsc70-4, hts, if, InR, jbug, Khc, kis, ko, kra, kuz, LanA, Lis-1, lola, mew, Mical, mmy, Moe, msps, mys, N, Nedd4, Nrg, Pka-R2, PlexA, PlexB, pod1, Pp1-87B, Ptp10D, Ptp69D, put, Rab6, Rac1, Rac2, Rheb, Rho1, S6k, sas, sbb, scb, Sdc, Sema1b, Sema2a, Sema2b, shot, sm, smo, Smox, spen, spz, Src42A, Tig, Toll-7, trio, trol, Unc-115a, uzip, wgn",Downregulated,OSNs
GO:0035158,0.000321333,0.049338586,"regulation of tube diameter, open tracheal system",BP,"Atpalpha, deltaCOP, Fas2, gammaCOP, garz, kkv, knk, nrv2, Sec24CD",Downregulated,OSNs
GO:0035159,8.03E-07,0.000620949,"regulation of tube length, open tracheal system",BP,"Atpalpha, bark, Chc, chico, conv, deltaCOP, ds, Egfr, Fas2, ft, fz, gammaCOP, garz, grh, kkv, knk, kune, Mcr, nrv2, pasi1, pasi2, Rho1, Sec24CD, serp, sqh, vari, verm, zip",Downregulated,OSNs
GO:0007430,7.74E-05,0.019938868,"terminal branching, open tracheal system",BP,"CCT3, Cds, Hph, Lam, noc, par-6, Ras85D, rhea, Rheb, rl, TSG101, Vha100-1, Vha13, Vha26, VhaAC39-1, VhaPPA1-1, Zyx",Downregulated,OSNs
GO:0035149,8.80E-05,0.021474037,"lumen formation, open tracheal system",BP,"btsz, CCT3, Dhc64C, Dlic, Egfr, gammaCOP, garz, kkv, klar, knk, Moe, Mtp, Rab35, rhea, Rho1, Sec23, Sec24CD, shot, Vha68-2, wat",Downregulated,OSNs
GO:0035293,0.000286244,0.046109177,chitin-based larval cuticle pattern formation,BP,"arm, ck, CrebA, fz, fz2, l(2)gl, lgs, pan, Sar1, Sec13, Sec23, sgg, SrpRbeta",Downregulated,OSNs
GO:0035220,8.50E-06,0.003459481,wing disc development,BP,"14-3-3epsilon, Actbeta, alphaSnap, Amun, AnxB9, ap, Arl1, arm, ATP6AP2, babo, bbg, blo, bowl, brm, by, capt, cbt, Cdc42, cg, CG1943, CG31406, CG8369, CG8405, CHOp24, ci, Cip4, ck, cora, corto, cpa, cpb, crb, crol, CSN8, CtBP, ctp, Cul3, cv-c, Cyp9f2, Dad, dally, Dg, Dok, dom, dpy, Drak, drk, ds, Dys, eca, EcR, ed, Egfr, EloB, EloC, emc, Fhos, Fkbp14, flr, flw, fng, fog, fray, ft, fz, fz2, G9a, Galphao, Galphas, gammaSnap1, Gli, Grasp65, Gug, gus, heph, Hipk, holn1, how, Hs6st, hth, hui, hyd, ics, if, Ilk, jumu, kay, kis, lft, lgs, mav, mew, Mpcp2, Mrp4, msk, Mtl, mts, myo, N, Nedd4, Nipped-A, nmo, noc, Nop60B, nuf, Nup154, nw, osa, pan, par-1, parvin, Past1, Pax, Pcyt1, Pgcl, Phm, pic, pio, Pka-C1, Pkn, pot, Psn, psq, put, pyd, Rab5, Rab7, Rac1, Rack1, Rap1, Ras85D, Rbfox1, rhea, rho, Rho1, RhoGEF2, rl, Rok, sbb, scaf, scrib, sd, sgg, shg, Sin3A, skd, smo, Smox, Smr, sn, Snx3, sog, spen, spi, Spn88Ea, sqh, Src42A, Stat92E, stck, step, Stim, sty, Su(Tpl), svr, sxc, Timp, tkv, tnc, Trl, tsh, tsr, Vajk3, Wnk, zfh2, zip, Zyx",Downregulated,OSNs
GO:0007298,0.000334388,0.049338586,border follicle cell migration,BP,"apt, bbg, bsk, CalpB, chico, cpb, Crk, Dhc64C, Diap1, EcR, Egfr, egh, ex, flr, fz, Gli, GMF, Hrb27C, if, InR, jar, kay, kis, kuz, Lis-1, mbc, Mhc, msn, mys, N, nudE, par-1, par-6, Ptpmeg2, Pvr, Rab11, Rab5, Rab7, Rac1, Rala, Rap1, Ras85D, rhea, Rho1, Rme-8, shg, shi, slmb, spi, spoon, sqh, stai, Stat92E, tsr, veli, yki, zip",Downregulated,OSNs
GO:0000281,0.000227519,0.038750351,mitotic cytokinesis,BP,"Act57B, Act5C, Act87E, ALiX, alphaSnap, AP-2alpha, chic, dia, pbl, Pkn, pnut, Rab1, Rab35, rho, Rho1, Rok, sau, shi, shrb, sip2, sqh, Synd, Syx1A, tsr, zip",Downregulated,OSNs
GO:0042060,5.48E-05,0.014604606,wound healing,BP,"bsk, Cad96Ca, Cdc42, CG31805, CG42259, CG7627, chic, Cht2, Cht7, cold, Coq3, dia, Eb1, ed, Egfr, Eig71Ee, Fhos, foxo, glo, grh, grp, holn1, Idgf3, Idgf4, InR, kay, kst, LeuRS, Mtl, Mtpalpha, pbl, Pkn, Pvr, Rac1, Rac2, Rho1, rl, Rok, scb, shg, shot, sn, Spn28Da, sqh, Sxl, TTLL4A, udt, Utx, zip",Downregulated,OSNs
GO:0060857,0.000125691,0.025574729,establishment of glial blood-brain barrier,BP,"Cont, cora, Galphai, Galphao, kune, Mdr65, Nrg, nrv2, Nrx-IV, pasi1, pasi2, sinu",Downregulated,OSNs
GO:0006457,2.14E-06,0.001228492,protein folding,BP,"14-3-3zeta, Calr, CCT1, CCT2, CCT3, CCT4, CCT5, CCT6, CCT7, CCT8, CG10029, CG11267, CG1416, CG14207, CG15676, CG2852, CG3061, CG5001, CG7768, Cnx99A, Csp, Cyp1, DnaJ-1, Droj2, Ero1L, ERp60, Fkbp12, Fkbp59, Gp93, HIP-R, Hsc70-3, Hsc70-4, Hsc70-5, Hsp23, Hsp26, Hsp27, Hsp60A, Hsp70Ab, Hsp70Bb, Hsp83, l(2)efl, mgr, mrj, Nrd1, nudC, P58IPK, Pfdn1, Pfdn2, Pfdn4, Pfdn5, Pfdn6, Qsox2, Qsox3, Qsox4, RIC-3, sel, shv, Tbce, Tpr2, unc-45, wbl",Downregulated,OSNs
GO:0006413,0.000100189,0.021942778,translational initiation,BP,"bol, CG13124, CG31957, eIF1, eIF1A, eIF2alpha, eIF2beta, eIF2Bgamma, eIF2gamma, eIF3a, eIF3b, eIF3c, eIF3d1, eIF3e, eIF3f1, eIF3g1, eIF3h, eIF3i, eIF3j, eIF3k, eIF3l, eIF3m, eIF4A, eIF4B, eIF4E1, eIF4E3, eIF4E5, eIF4EHP, eIF4G1, eIF4H1, eIF5, eIF5B, l(2)efl, MCTS1, mxt, NAT1, Paip2, pix, Tcs3, Thor",Downregulated,OSNs
GO:0006414,0.000353951,0.049759007,translational elongation,BP,"Clbn, Dph1, eEF1alpha1, eEF1beta, eEF1delta, eEF1gamma, eEF2, eEF5, eEFSec, Ltn1, mEFTu1, Rack1, RpLP1, RpLP2, Sbp2, Srp9",Downregulated,OSNs
GO:0006120,2.92E-07,0.000340002,"mitochondrial electron transport, NADH to ubiquinone",BP,"ND-13A, ND-13B, ND-15, ND-19, ND-20, ND-23, ND-24, ND-39, ND-42, ND-49, ND-51, ND-ACP, ND-ASHI, ND-B12, ND-B14, ND-B14.5B, ND-B16.6, ND-B17, ND-B17.2, ND-B18, ND-B22, ND-MLRQ, ND-PDSW, ND-SGDH",Downregulated,OSNs
GO:0019991,6.83E-07,0.000620949,septate junction assembly,BP,"Atpalpha, CG44325, CG9628, cold, Cont, dlg1, Galphai, Galphao, Gli, kune, l(2)gl, Lac, Mcr, Nrg, nrv2, Nrx-IV, pasi1, pasi2, scrib, sinu, Tsf2, vari, wol, wun",Downregulated,OSNs
GO:0006123,0.000106908,0.022340794,"mitochondrial electron transport, cytochrome c to oxygen",BP,"COX4, COX4L, COX5A, COX5B, COX7A, COX7AL, COX7C, cype, Cyt-c-p, levy",Downregulated,OSNs
GO:0032956,0.000230538,0.038750351,regulation of actin cytoskeleton organization,BP,"Akap200, Arp2, Arp3, Arpc1, Arpc2, Cdc42, CG1674, CG31715, CG6891, chic, chinmo, Cip4, conu, cpa, cpb, Crk, cta, dco, dia, ed, Fhos, flr, fog, fz, Gbeta13F, gek, Ggamma1, gish, GMF, HSPC300, if, IRSp53, jar, Lam, LamC, Mhc, Moe, mys, Nedd4, Nup98-96, p120ctn, pbl, Pka-C1, Rac1, Rac2, Rack1, Rho1, RhoBTB, RhoGEF2, Rok, sals, shi, spoon, sqh, step, Svil, svr, Tm2, tmod",Downregulated,OSNs
GO:0051651,0.000194165,0.034913493,maintenance of location in cell,BP,"Act5C, aub, chic, dia, Fkbp12, KdelR, mago, norpA, pbl, Rok, RyR, SERCA, SPoCk, Vps13, Vps13B, Vps13D, zip, ZnT33D, ZnT41F",Downregulated,OSNs
GO:0061024,0.000276814,0.045538856,membrane organization,BP,"alpha-Spec, alphaSnap, AP-2alpha, Arl1, Arl8, Arp3, Arv1, atl, beta-Spec, bsk, cert, CG13784, CG14270, CG15296, CG30392, CG31729, CG33298, CG34132, CG3776, CG5498, CG6527, cin, Cip4, crb, Crk, crq, dia, EcR, Fmr1, Fur1, Gli, grh, Hsc70-4, IRSp53, klar, Kr-h2, kst, Lam, lap, lt, mge, Mitofilin, nes, Nrx-IV, Opa1, oys, Pld, pod1, QIL1, Rab11, Rab35, Rab5, Rab7, Rab8, Rac1, Rac2, RhoBTB, Rtnl1, Sar1, sau, scramb1, scramb2, Sec13, Sec16, Sec22, Sec23, Sec24AB, Sec24CD, Sec31, shi, shrb, Snap25, Snx6, subdued, Synd, Syx1A, Syx4, Syx7, Tango9, TER94, Tim8, Tim9a, Tom7, TORIP, TRAM, ttm3, Vamp7, Vap33, Vps11, Vps16A, Vps24, Vps60, wol",Downregulated,OSNs
GO:0031532,3.08E-07,0.000340002,actin cytoskeleton reorganization,BP,"Actn, Akap200, Arp3, Arpc1, Cdc42, Dg, dia, IRSp53, mon2, Mtl, nuf, parvin, pbl, Pka-C1, Pkn, pod1, Rab11, Rac1, Rac2, Rho1, RhoGEF2, Rok, trio",Downregulated,OSNs
GO:0030010,3.66E-05,0.011317984,establishment of cell polarity,BP,"Cdc42, cta, ctp, cv-c, Dg, Dhc64C, dlg1, Dlish, ds, Dys, Egfr, fz, Galphai, Gbeta13F, Ggamma1, Klp10A, l(2)gl, Lis-1, msps, mts, nudE, par-6, Rac1, Ran, scrib, sgg, sktl, Slik, slmb",Downregulated,OSNs
GO:0002181,1.39E-29,1.07E-25,cytoplasmic translation,BP,"CG13364, CG5515, CG8635, CNBP, Dph1, eIF1, eIF2beta, eIF2Bgamma, eIF2gamma, eIF3a, eIF3i, eIF3m, eIF4A, eIF4H1, eIF5, eRF1, eRF3, MCTS1, me31B, RpL10, RpL10Aa, RpL10Ab, RpL11, RpL12, RpL13, RpL13A, RpL14, RpL15, RpL17, RpL18, RpL18A, RpL19, RpL21, RpL22, RpL23, RpL23A, RpL24, RpL26, RpL27, RpL27A, RpL28, RpL29, RpL3, RpL30, RpL31, RpL32, RpL34a, RpL34b, RpL35, RpL35A, RpL36, RpL36A, RpL37A, RpL38, RpL39, RpL4, RpL40, RpL5, RpL6, RpL7, RpL7A, RpL8, RpL9, RpLP0, RpLP1, RpLP2, RpS10b, RpS11, RpS12, RpS13, RpS14a, RpS14b, RpS15, RpS15Aa, RpS16, RpS17, RpS18, RpS19a, RpS2, RpS21, RpS23, RpS24, RpS25, RpS26, RpS27, RpS27A, RpS28b, RpS29, RpS3, RpS30, RpS3A, RpS4, RpS5a, RpS6, RpS7, RpS8, RpS9, sta",Downregulated,OSNs
